"name","pop","location"
"Artem","102300","https://www.google.com/maps/?q=43.3595,132.189"
"Ukhta","102187","https://www.google.com/maps/?q=63.5671,53.6835"
"Brateyevo","102000","https://www.google.com/maps/?q=55.6376,37.7644"
"Shchukino","102000","https://www.google.com/maps/?q=55.8,37.45"
"Kansk","101502","https://www.google.com/maps/?q=56.2017,95.7175"
"Mezhdurechensk","101026","https://www.google.com/maps/?q=53.6942,88.0603"
"Novyye Cheremushki","101000","https://www.google.com/maps/?q=55.7,37.5833"
"Ryazanskiy","101000","https://www.google.com/maps/?q=55.7333,37.7667"
"Solikamsk","100812","https://www.google.com/maps/?q=59.6316,56.7685"
"Glazov","100676","https://www.google.com/maps/?q=58.1393,52.658"
"Ust'-Ilimsk","100271","https://www.google.com/maps/?q=58.0006,102.662"
"Tekstil'shchiki","100000","https://www.google.com/maps/?q=55.7003,37.7427"
"Zelenodolsk","99600","https://www.google.com/maps/?q=55.8438,48.5178"
"Novoshakhtinsk","99478","https://www.google.com/maps/?q=47.7604,39.9333"
"Sarapul","98830","https://www.google.com/maps/?q=56.4763,53.7978"
"Votkinsk","98633","https://www.google.com/maps/?q=57.0486,53.9872"
"Serov","98438","https://www.google.com/maps/?q=59.6033,60.5787"
"Balashov","98107","https://www.google.com/maps/?q=51.5502,43.1667"
"Zheleznogorsk","97900","https://www.google.com/maps/?q=52.331,35.3711"
"Zhukovskiy","97200","https://www.google.com/maps/?q=55.5953,38.1203"
"Ramenskoye","96000","https://www.google.com/maps/?q=55.5669,38.2303"
"Magadan","95282","https://www.google.com/maps/?q=59.5638,150.803"
"Vostochnoe Degunino","95000","https://www.google.com/maps/?q=55.8801,37.5576"
"Novogireyevo","95000","https://www.google.com/maps/?q=55.7538,37.8189"
"Ozerki","95000","https://www.google.com/maps/?q=60.0395,30.3113"
"Novyy Urengoy","94212","https://www.google.com/maps/?q=66.0833,76.6333"
"Novoural'sk","93849","https://www.google.com/maps/?q=57.2439,60.0839"
"Zheleznogorsk","93834","https://www.google.com/maps/?q=56.2511,93.5319"
"Michurinsk","93499","https://www.google.com/maps/?q=52.8978,40.4907"
"Kineshma","92983","https://www.google.com/maps/?q=57.4391,42.1289"
"Krasnogorsk","92932","https://www.google.com/maps/?q=55.8204,37.3302"
"Pushkin","92889","https://www.google.com/maps/?q=59.7142,30.3964"
"Bugul'ma","91900","https://www.google.com/maps/?q=54.5378,52.7985"
"Lefortovo","91000","https://www.google.com/maps/?q=55.7667,37.7"
"Yaroslavskiy","91000","https://www.google.com/maps/?q=55.8833,37.7167"
"Kuznetsk","90480","https://www.google.com/maps/?q=53.1167,46.6004"
"Kirovo-Chepetsk","90252","https://www.google.com/maps/?q=58.5539,50.0399"
"Berdsk","90250","https://www.google.com/maps/?q=54.7551,83.0967"
"Gatchina","89761","https://www.google.com/maps/?q=59.5764,30.1283"
"Biryulevo Zapadnoye","89000","https://www.google.com/maps/?q=55.5877,37.6428"
"Sarov","88000","https://www.google.com/maps/?q=54.9358,43.3235"
"Yeysk","87814","https://www.google.com/maps/?q=46.7055,38.2739"
"Buzuluk","87714","https://www.google.com/maps/?q=52.7807,52.2635"
"Gubkin","87000","https://www.google.com/maps/?q=51.2817,37.5458"
"Chaykovskiy","86712","https://www.google.com/maps/?q=56.7686,54.1148"
"Babushkin","86000","https://www.google.com/maps/?q=55.8693,37.7297"
"Lianozovo","86000","https://www.google.com/maps/?q=55.8978,37.5868"
"Usol'ye-Sibirskoye","85900","https://www.google.com/maps/?q=52.7519,103.645"
"Svetlanovskiy","85508","https://www.google.com/maps/?q=60.0028,30.3305"
"Yegor'yevsk","85200","https://www.google.com/maps/?q=55.3828,39.0323"
"Yurga","84220","https://www.google.com/maps/?q=55.7231,84.8861"
"Komendantsky aerodrom","84052","https://www.google.com/maps/?q=60.0045,30.2752"
"Anzhero-Sudzhensk","82526","https://www.google.com/maps/?q=56.081,86.0285"
"Troitsk","82338","https://www.google.com/maps/?q=54.0979,61.5773"
"Azov","82133","https://www.google.com/maps/?q=47.1078,39.4165"
"Kaspiysk","81752","https://www.google.com/maps/?q=42.8816,47.6392"
"Ozersk","81023","https://www.google.com/maps/?q=55.7556,60.7028"
"Yessentuki","81015","https://www.google.com/maps/?q=44.0444,42.8606"
"Klin","80778","https://www.google.com/maps/?q=56.3333,36.7333"
"Vorkuta","80039","https://www.google.com/maps/?q=67.4988,64.0525"
"Fili","80000","https://www.google.com/maps/?q=55.7482,37.4797"
"Kropotkin","79599","https://www.google.com/maps/?q=45.4375,40.5756"
"Shadrinsk","79479","https://www.google.com/maps/?q=56.0852,63.6335"
"Vyborg","78633","https://www.google.com/maps/?q=60.7076,28.7528"
"Reutov","78370","https://www.google.com/maps/?q=55.7611,37.8575"
"Alekseyevka","78000","https://www.google.com/maps/?q=55.63,37.8"
"Voskresensk","77086","https://www.google.com/maps/?q=55.3173,38.6526"
"Mineralnye Vody","76280","https://www.google.com/maps/?q=44.2103,43.1353"
"Birobidzhan","76146","https://www.google.com/maps/?q=48.7928,132.924"
"Nagornyy","76000","https://www.google.com/maps/?q=55.65,37.6167"
"Kamensk-Shakhtinskiy","75814","https://www.google.com/maps/?q=48.3178,40.2595"
"Belovo","75764","https://www.google.com/maps/?q=54.4165,86.2976"
"Chekhov","75643","https://www.google.com/maps/?q=55.1477,37.4773"
"Asbest","74583","https://www.google.com/maps/?q=57.0099,61.4578"
"Peterhof","73199","https://www.google.com/maps/?q=59.8833,29.9"
"Dachnoye","72822","https://www.google.com/maps/?q=59.8417,30.2558"
"Minusinsk","72781","https://www.google.com/maps/?q=53.7103,91.6875"
"Georgiyevsk","72649","https://www.google.com/maps/?q=44.1519,43.4697"
"Yelabuga","72643","https://www.google.com/maps/?q=55.7613,52.0649"
"Naro-Fominsk","72632","https://www.google.com/maps/?q=55.3875,36.7331"
"Finlyandskiy","72292","https://www.google.com/maps/?q=59.9682,30.3641"
"Sunzha","71841","https://www.google.com/maps/?q=43.3195,45.0491"
"Chernogorsk","71582","https://www.google.com/maps/?q=53.8236,91.2842"
"Zelenogorsk","71354","https://www.google.com/maps/?q=56.1124,94.5985"
"Grazhdanka","71128","https://www.google.com/maps/?q=60.0359,30.4052"
"Kopeysk","70780","https://www.google.com/maps/?q=55.1172,61.6282"
"Kurortnyy","70589","https://www.google.com/maps/?q=60.1656,29.908"
"Vol'sk","70500","https://www.google.com/maps/?q=52.0454,47.3799"
"Beloretsk","70468","https://www.google.com/maps/?q=53.9631,58.3981"
"Ishimbay","70421","https://www.google.com/maps/?q=53.4545,56.0415"
"Adler","70200","https://www.google.com/maps/?q=43.429,39.9239"
"Chapayevsk","70147","https://www.google.com/maps/?q=52.9771,49.7086"
"Tuymazy","68829","https://www.google.com/maps/?q=54.6067,53.7097"
"Lys'va","68660","https://www.google.com/maps/?q=58.1086,57.8053"
"Borisoglebsk","68597","https://www.google.com/maps/?q=51.3671,42.0849"
"Sosnovyy Bor","68563","https://www.google.com/maps/?q=59.8996,29.0857"
"Dolgoprudnyy","68259","https://www.google.com/maps/?q=55.9496,37.5018"
"Dorogomilovo","68000","https://www.google.com/maps/?q=55.75,37.5667"
"Budennovsk","67962","https://www.google.com/maps/?q=44.7839,44.1658"
"Belogorsk","67911","https://www.google.com/maps/?q=50.9164,128.477"
"Khanty-Mansiysk","67800","https://www.google.com/maps/?q=61.0042,69.0019"
"Ishim","67762","https://www.google.com/maps/?q=56.1128,69.4902"
"Kstovo","67242","https://www.google.com/maps/?q=56.1473,44.1979"
"Aleksin","66885","https://www.google.com/maps/?q=54.505,37.0674"
"Parnas","66693","https://www.google.com/maps/?q=60.0696,30.3487"
"Kungur","66389","https://www.google.com/maps/?q=57.4368,56.9593"
"Klintsy","66336","https://www.google.com/maps/?q=52.7602,32.2393"
"Neryungri","66320","https://www.google.com/maps/?q=56.6664,124.638"
"Leninogorsk","66263","https://www.google.com/maps/?q=54.6026,52.4609"
"Sosnovka","66227","https://www.google.com/maps/?q=60.0167,30.35"
"Gukovo","66079","https://www.google.com/maps/?q=48.0621,39.9355"
"Lesosibirsk","65945","https://www.google.com/maps/?q=58.2358,92.4828"
"Polevskoy","65770","https://www.google.com/maps/?q=56.4422,60.1878"
"Meleuz","65362","https://www.google.com/maps/?q=52.9647,55.9328"
"Kumertau","65321","https://www.google.com/maps/?q=52.7667,55.7833"
"Slavyansk-na-Kubani","65196","https://www.google.com/maps/?q=45.2558,38.1256"
"Tikhoretsk","64387","https://www.google.com/maps/?q=45.8547,40.1253"
"Rossosh'","64323","https://www.google.com/maps/?q=51.1209,38.5116"
"Tuapse","64234","https://www.google.com/maps/?q=44.1053,39.0802"
"Aleksandrov","64088","https://www.google.com/maps/?q=56.3952,38.7122"
"Kotlovka","64000","https://www.google.com/maps/?q=55.6593,37.604"
"Zarechnyy","63579","https://www.google.com/maps/?q=53.2036,45.1923"
"Pavlovo","63338","https://www.google.com/maps/?q=55.9686,43.0912"
"Novaya Balakhna","63083","https://www.google.com/maps/?q=56.4899,43.6011"
"Gus'-Khrustal'nyy","62746","https://www.google.com/maps/?q=55.6111,40.6519"
"Buynaksk","62689","https://www.google.com/maps/?q=42.819,47.1192"
"Krasnotur'insk","62600","https://www.google.com/maps/?q=59.7666,60.2086"
"Belebey","62582","https://www.google.com/maps/?q=54.1167,54.1167"
"Rzhev","62246","https://www.google.com/maps/?q=56.2624,34.3282"
"Chistopol'","62200","https://www.google.com/maps/?q=55.3631,50.6424"
"Zarechnyy","62139","https://www.google.com/maps/?q=53.1333,46.5833"
"Tikhvin","62075","https://www.google.com/maps/?q=59.6451,33.5294"
"Rossosh'","62000","https://www.google.com/maps/?q=50.1983,39.5673"
"Petrodvorets","61973","https://www.google.com/maps/?q=59.8956,29.8015"
"Labinsk","61945","https://www.google.com/maps/?q=44.6342,40.7356"
"Iskitim","61827","https://www.google.com/maps/?q=54.6366,83.3045"
"Revda","61785","https://www.google.com/maps/?q=56.801,59.9303"
"Lobnya","61772","https://www.google.com/maps/?q=56.0097,37.4819"
"Vyksa","61664","https://www.google.com/maps/?q=55.3175,42.1744"
"Dmitrov","61607","https://www.google.com/maps/?q=56.3448,37.5204"
"Sibay","61590","https://www.google.com/maps/?q=52.7181,58.6658"
"Apatity","61186","https://www.google.com/maps/?q=67.5641,33.4031"
"Novoaltaysk","61050","https://www.google.com/maps/?q=53.3917,83.9363"
"Svobodnyy","61017","https://www.google.com/maps/?q=51.3753,128.141"
"Sal'sk","61000","https://www.google.com/maps/?q=46.4747,41.5411"
"Stupino","60999","https://www.google.com/maps/?q=54.9008,38.0708"
"Prokhladnyy","60800","https://www.google.com/maps/?q=43.7574,44.0297"
"Shuya","60705","https://www.google.com/maps/?q=56.8487,41.3883"
"Shchekino","60700","https://www.google.com/maps/?q=54.0051,37.5219"
"Bor","60647","https://www.google.com/maps/?q=56.3581,44.0748"
"Dubna","60604","https://www.google.com/maps/?q=56.7333,37.1667"
"Pavlovskiy Posad","60051","https://www.google.com/maps/?q=55.7819,38.6502"
"Ostankinskiy","60000","https://www.google.com/maps/?q=55.8296,37.616"
"Sviblovo","60000","https://www.google.com/maps/?q=55.85,37.6333"
"Mikhaylovsk","59198","https://www.google.com/maps/?q=45.1283,42.0256"
"Kotlas","59180","https://www.google.com/maps/?q=61.2575,46.6496"
"Verkhnyaya Pyshma","59061","https://www.google.com/maps/?q=56.9705,60.5822"
"Talnakh","59051","https://www.google.com/maps/?q=69.4865,88.3972"
"Mikhaylovka","58898","https://www.google.com/maps/?q=50.06,43.2379"
"Solnechnogorsk","58891","https://www.google.com/maps/?q=56.1833,36.9833"
"Arsen'yev","58700","https://www.google.com/maps/?q=44.1525,133.278"
"Uzlovaya","58458","https://www.google.com/maps/?q=53.9818,38.1712"
"Volzhsk","58000","https://www.google.com/maps/?q=55.8664,48.3594"
"Kogalym","57800","https://www.google.com/maps/?q=62.2654,74.4791"
"Krymsk","57555","https://www.google.com/maps/?q=44.9293,37.9912"
"Cheremkhovo","57395","https://www.google.com/maps/?q=53.1561,103.067"
"Zhigulevsk","57094","https://www.google.com/maps/?q=53.3997,49.4953"
"Sokol","57000","https://www.google.com/maps/?q=55.8,37.5167"
"Sokol'niki","57000","https://www.google.com/maps/?q=55.802,37.6716"
"Roslavl'","56971","https://www.google.com/maps/?q=53.9528,32.8639"
"Borovichi","56571","https://www.google.com/maps/?q=58.3878,33.9155"
"Chernaya Rechka","56429","https://www.google.com/maps/?q=59.9859,30.3034"
"Kirishi","56190","https://www.google.com/maps/?q=59.4471,32.0205"
"Ezhva","56000","https://www.google.com/maps/?q=61.8128,50.7283"
"Liski","55939","https://www.google.com/maps/?q=50.9841,39.5154"
"Vyaz'ma","55500","https://www.google.com/maps/?q=55.2104,34.2951"
"Nazarovo","55252","https://www.google.com/maps/?q=56.0104,90.4011"
"Klimovsk","55206","https://www.google.com/maps/?q=55.3635,37.5298"
"Lesnoy","55100","https://www.google.com/maps/?q=57.6198,63.0784"
"Rybatskoye","55076","https://www.google.com/maps/?q=59.8393,30.4987"
"Uritsk","55037","https://www.google.com/maps/?q=59.8389,30.1753"
